"genes"	"modules"
"EPS8"	"M2"
"ADM"	"M1"
"UCHL1"	"M2"
"ME1"	"M2"
"CXCL14"	"M3"
"GCLM"	"M2"
"F3"	"M1"
"GSTM3"	"M2"
"NUPR1"	"M6"
"IFI6"	"M4"
"MX1"	"M4"
"RAPGEFL1"	"M5"
"CFH"	"M3"
"A4GALT"	"M1"
"THBD"	"M1"
"MUC1"	"M6"
"SEMA3C"	"M3"
"IL1RAP"	"M1"
"FBN1"	"M3"
"BMP7"	"M5"
"KLF4"	"M1"
"EMILIN1"	"M3"
"LAMP3"	"M4"
"CPE"	"M3"
"EFEMP1"	"M6"
"GBP6"	"M1"
"WDR72"	"M5"
"ST6GALNAC2"	"M1"
"RBP1"	"M2"
"OAS2"	"M4"
"C5orf13"	"M1"
"FAM84A"	"M1"
"SDK1"	"M2"
"ID1"	"M1"
"ABCB6"	"M2"
"IL8"	"M1"
"TP53"	"Not.Correlated"
"FGFBP1"	"M1"
"CEACAM6"	"M1"
"CCND2"	"M2"
"CTSK"	"M3"
"HEY1"	"M2"
"ST6GAL1"	"M4"
"GPC4"	"M3"
"GJB6"	"M1"
"RGMA"	"M5"
"GPX3"	"M6"
"HCLS1"	"M4"
"NPNT"	"M5"
"PMEPA1"	"M3"
"CTHRC1"	"M3"
"SLC2A3"	"M3"
"MGP"	"M4"
"SMO"	"M2"
"GSTM2"	"M2"
"FCGR3A"	"M4"
"HLA-DQB1"	"M4"
"FZD7"	"M2"
"SLC7A11"	"M2"
"IL1RN"	"M1"
"GPC3"	"M5"
"ITGB6"	"M3"
"HLA-DQA1"	"M4"
"FBLN2"	"M3"
"PLBD1"	"M2"
"C8orf4"	"M6"
"TINAGL1"	"M5"
"ETV5"	"M2"
"TGFA"	"M1"
"NR4A1"	"M6"
"CHI3L1"	"M4"
"CP"	"M6"
"NRP2"	"M3"
"PDPN"	"M3"
"COL16A1"	"M3"
"KRT10"	"M1"
"CDH11"	"M3"
"FGFR1"	"M1"
"MATN2"	"M2"
"TNFRSF12A"	"M3"
"ISG15"	"M4"
"ROBO1"	"M2"
"GPRC5A"	"M6"
"RHOV"	"M1"
"GPR87"	"M1"
"BASP1"	"M3"
"ADAMTS1"	"M2"
"MMP12"	"M4"
"MYO5B"	"Not.Correlated"
"TRIB3"	"M2"
"BST2"	"M4"
"HTRA3"	"M3"
"NEBL"	"M6"
"RARRES2"	"M3"
"CRABP2"	"M2"
"MYH11"	"M2"
"SDC2"	"M3"
"SEZ6L2"	"M2"
"SLC34A2"	"M6"
"STC2"	"M2"
"CFB"	"M6"
"IFFO2"	"M1"
"PLXNA2"	"M1"
"NRARP"	"M2"
"PLEKHG4"	"M1"
"METTL7A"	"M6"
"DUOX1"	"M1"
"MGLL"	"M1"
"ISLR"	"M3"
"SAMD9"	"M4"
"PODXL2"	"M1"
"KRT7"	"M6"
"MDFI"	"M2"
"CRIP2"	"M3"
"TSPAN7"	"M2"
"BCAT1"	"M3"
"PLIN2"	"M4"
"HR"	"M1"
"PI3"	"M1"
"ALDH3B2"	"M1"
"HMOX1"	"M2"
"SPRR1B"	"M1"
"CCL18"	"M4"
"MECOM"	"M6"
"NTS"	"M5"
"TFPI"	"M6"
"CECR1"	"M4"
"WNK2"	"M5"
"IRS1"	"M1"
"LEPREL1"	"M1"
"CMBL"	"M1"
"SESN3"	"M5"
"TMEM45A"	"M3"
"FAM43A"	"M5"
"LPHN2"	"M3"
"AGR2"	"M6"
"MUC4"	"M1"
"ABCA13"	"M5"
"MFI2"	"M2"
"ZNF117"	"Not.Correlated"
"KCNK1"	"M2"
"WFDC2"	"M6"
"MUC20"	"M1"
"HLA-DMB"	"M4"
"SERPINB13"	"M1"
"KCNS3"	"M5"
"FOXE1"	"M5"
"FHL2"	"M3"
"PC"	"M2"
"PRRX1"	"M3"
"GJB3"	"M1"
"PPP1R14C"	"M1"
"ARHGEF4"	"M1"
"SFTPA1"	"M6"
"NYNRIN"	"M2"
"NTN1"	"M5"
"PDGFRA"	"M3"
"TSPAN1"	"M1"
"IGF2BP3"	"M5"
"TMTC1"	"M2"
"FABP5"	"M1"
"HCP5"	"M4"
"CBLC"	"M1"
"STON2"	"M1"
"GREM1"	"M3"
"LOXL2"	"M3"
"RPL9"	"Not.Correlated"
"SERPINB3"	"M1"
"PGF"	"M1"
"ADH7"	"M2"
"LRP4"	"M5"
"PROS1"	"M1"
"CHST2"	"M2"
"F2RL1"	"M1"
"CYBB"	"M4"
"LOX"	"M3"
"HLA-DRB5"	"M4"
"CTSL2"	"M1"
"ZNF750"	"M1"
"ADAM12"	"M3"
"CBX2"	"M2"
"SOX9"	"M3"
"GABRE"	"M2"
"OSGIN1"	"M2"
"ARL4D"	"M1"
"FBXO27"	"M5"
"PTPRU"	"M3"
"HIST2H2BE"	"M3"
"PRAME"	"M2"
"PGM2L1"	"M3"
"NXPH4"	"M1"
"LCN2"	"M1"
"SAMD12"	"M5"
"FOXA1"	"M1"
"ECM1"	"M1"
"ANO1"	"M3"
"CD163"	"M4"
"CXCL17"	"M6"
"TSPYL5"	"M1"
"KIAA1199"	"M3"
"KRT80"	"M1"
"TRPV4"	"M5"
"CSPG4"	"M3"
"RPS27"	"Not.Correlated"
"CXCL9"	"M4"
"RPL39L"	"M2"
"NRCAM"	"M2"
"PDLIM4"	"M1"
"BCL11A"	"M1"
"EPPK1"	"M1"
"PTGS2"	"M1"
"CEACAM5"	"M1"
"ODZ4"	"M5"
"GALNT6"	"Not.Correlated"
"NFKBIZ"	"M1"
"PARM1"	"M4"
"COL15A1"	"M3"
"PTPRC"	"M4"
"GSTM4"	"M2"
"HBEGF"	"M1"
"PEG10"	"M1"
"ETV4"	"M2"
"SUSD4"	"M5"
"ANXA8L2"	"M1"
"STC1"	"M3"
"APOC1"	"M4"
"GBP4"	"M4"
"ALDH1A3"	"M3"
"SPON2"	"M3"
"RAB6B"	"M2"
"PRODH"	"M5"
"VSNL1"	"M1"
"MLLT11"	"M2"
"HIST1H1C"	"M3"
"GPRC5C"	"M6"
"ABCA3"	"M6"
"NDRG4"	"M2"
"XAF1"	"M4"
"TTC9"	"M1"
"C1orf116"	"M1"
"MMP7"	"M3"
"DAPK1"	"M4"
"ZC3H12A"	"M1"
"SPRR2A"	"M1"
"VLDLR"	"M2"
"ALPL"	"M6"
"B4GALNT4"	"M1"
"EPHA4"	"M3"
"ARNTL2"	"M1"
"WASF1"	"M2"
"CRYAB"	"M1"
"CBS"	"M2"
"CYP1B1"	"M3"
"LTB4R"	"M1"
"BNC1"	"M1"
"IRS2"	"M2"
"DMKN"	"M1"
"MX2"	"M4"
"BEX4"	"M1"
"PAPSS2"	"M3"
"IFIT3"	"M4"
"RAB38"	"M1"
"FAM83F"	"M1"
"SLC35F2"	"M5"
"KIAA1549"	"M2"
"CXCL1"	"M1"
"WDR66"	"M1"
"PDGFA"	"M3"
"TMPRSS13"	"M1"
"UBD"	"M4"
"TMEM184A"	"M1"
"TPSB2"	"M3"
"ZBTB7C"	"M5"
"MYCL1"	"M3"
"PLCH2"	"M1"
"CYB5R2"	"M1"
"FAM83B"	"M1"
"LTF"	"M6"
"SLCO2B1"	"M4"
"ABCC3"	"M2"
"ADAM23"	"M2"
"KRTCAP3"	"M2"
"PRELP"	"M3"
"FRAS1"	"M5"
"EYA2"	"M6"
"CCL5"	"M4"
"SPRR3"	"M1"
"B4GALNT3"	"M5"
"GPR109A"	"M1"
"FST"	"M1"
"HIST1H2AC"	"Not.Correlated"
"APOBEC3B"	"M2"
"STEAP1"	"M1"
"CDKN2B"	"Not.Correlated"
"COL11A1"	"M3"
"HOPX"	"M6"
"GOLGA8B"	"M4"
"LIFR"	"M2"
"UST"	"M5"
"SOX15"	"M1"
"SLC4A11"	"M5"
"COL5A3"	"M3"
"TSPAN18"	"M2"
"CCL2"	"M3"
"CGN"	"M6"
"PCDH7"	"M1"
"FGF11"	"M1"
"LIMCH1"	"M6"
"MFAP4"	"M3"
"AHSA2"	"M3"
"MTAP"	"Not.Correlated"
"PCSK9"	"M1"
"ANGPTL4"	"M1"
"ZSCAN18"	"M2"
"PPM1H"	"M3"
"FXYD6"	"M1"
"HS6ST2"	"M2"
"ADAM8"	"M4"
"NPAS2"	"M1"
"PTGES"	"M1"
"PANX2"	"M2"
"RYR1"	"M1"
"SLC15A2"	"M1"
"PRSS22"	"M1"
"CYP27A1"	"M4"
"NTN4"	"M6"
"ELN"	"M3"
"ANXA3"	"M6"
"PER3"	"M2"
"IGF2"	"M3"
"MIAT"	"M2"
"GRHL3"	"M1"
"PKP2"	"M5"
"KIAA1324"	"M5"
"GCNT2"	"M2"
"THSD4"	"M3"
"B3GALNT1"	"M2"
"FOXQ1"	"M1"
"RAP1GAP"	"M2"
"VCAM1"	"M3"
"CPXM2"	"M2"
"GJB5"	"M1"
"SH3RF2"	"M1"
"LPAR1"	"M2"
"PPP2R2C"	"M2"
"KCNE3"	"M5"
"SPON1"	"M3"
"SGEF"	"M5"
"COL4A6"	"M5"
"SLC1A3"	"M3"
"ZNF703"	"M5"
"C12orf75"	"M2"
"SEMA6A"	"M5"
"CADM1"	"M3"
"C9orf125"	"M5"
"ARMCX2"	"Not.Correlated"
"GPRC5B"	"M1"
"GBP5"	"M4"
"CPVL"	"M4"
"C1QTNF1"	"M3"
"DAPL1"	"M5"
"PLA2R1"	"M1"
"MN1"	"M1"
"SLC2A12"	"M2"
"SOCS2"	"M5"
"KLC3"	"M1"
"TFCP2L1"	"M1"
"LOC730101"	"M5"
"CCDC3"	"M3"
"CARD10"	"M1"
"COL27A1"	"M1"
"COL10A1"	"M3"
"POF1B"	"M5"
"PTGDS"	"M4"
"OLFM2"	"M3"
"C19orf33"	"M1"
"SMOC2"	"M2"
"MSR1"	"M4"
"LRRC4"	"M5"
"MMP10"	"M1"
"KIAA0802"	"M5"
"ENTPD3"	"M2"
"SFRP4"	"M3"
"ZNF83"	"M2"
"MOXD1"	"M3"
"SLAMF7"	"M4"
"PLEK"	"M4"
"GLI3"	"M2"
"TSPAN33"	"M2"
"BTBD11"	"M2"
"FOSB"	"M6"
"F13A1"	"M3"
"KLHL13"	"M5"
"CXCL10"	"M4"
"EPS8L1"	"M1"
"FOSL1"	"M1"
"CPNE8"	"M1"
"EPHB2"	"M5"
"KCNJ15"	"M1"
"MEX3A"	"M1"
"ALDH7A1"	"M5"
"SLC2A10"	"M6"
"SDK2"	"M2"
