,logFC,logCPM,LR,PValue,FDR,direction
STIL,3.56568437582754,4.50207688921715,642.286771635476,1.06316740932027e-141,2.27343535855305e-139,up
CENPF,4.61441858053919,6.93773588302608,638.445104306875,7.27960453952063e-141,1.53153486473398e-138,up
CCNA2,4.1422793974547,5.5868120554608,635.718099633161,2.852304749356e-140,5.90562907152376e-138,up
UHRF1,4.63276020283301,4.76675058940998,634.443909996389,5.39904565031267e-140,1.10039299160435e-137,up
MCM10,4.6977863339083,4.29648319077477,634.321154807372,5.7413607695204e-140,1.15215861350191e-137,up
BUB1,3.7473680055458,5.44968319652505,632.860332214002,1.19323923603039e-139,2.35827463557279e-137,up
NCAPG,3.98483408949064,5.11009038200085,631.474343322794,2.38872292258045e-139,4.65052265703574e-137,up
C16orf59,4.69781789220812,3.70535708119329,628.653300629614,9.81107526733863e-139,1.88199508510537e-136,up
KIFC1,3.79901204595692,5.44534243015015,626.834698524773,2.43920405891934e-138,4.61115619486142e-136,up
MYBL2,5.01293406090386,6.81627926645647,626.050114498369,3.61317913811909e-138,6.73290123966077e-136,up
RFC4,3.92977060074314,6.07741227061877,625.253502643122,5.38452213544849e-138,9.89235306123804e-136,up
SPC25,4.465130782616,3.5827169960145,624.523990923983,7.75909951987943e-138,1.40569019635149e-135,up
S1PR1,-3.94452192310328,5.13475686981514,624.343271538507,8.49408658728816e-138,1.51776528006283e-135,down
CDK1,3.6938022965611,6.43472154203068,620.062817565444,7.24593716236651e-137,1.27724330197174e-134,up
CLEC14A,-3.34117188541736,4.7354074051658,616.527259819428,4.25665930647639e-136,7.40318186582374e-134,down
CDCA8,4.14178643957705,5.35031262072888,615.6675324591,6.54724143570847e-136,1.12371338536028e-133,up
RTKN2,-4.52715557017696,5.59552400827563,615.572440296665,6.86658484476623e-136,1.16321730798871e-133,down
CDT1,4.23047811046918,5.49085100708411,611.845216614405,4.44029337958949e-135,7.42553677479043e-133,up
RAMP3,-3.8244883130892,4.54274191665126,608.245369555995,2.69392644953545e-134,4.44804767186588e-132,down
SGOL1,4.43144288324631,2.75451165628081,606.778291328857,5.61668928835812e-134,9.15801188466792e-132,up
SCARF1,-2.73804666285174,4.09292209098483,602.71183271741,4.3048303051351e-133,6.932371172862e-131,down
GNG11,-3.68444021369618,4.94293837684315,600.62419876564,1.22470347818299e-132,1.94817465480719e-130,down
NDC80,4.47541340885016,4.61393814171965,599.591496694183,2.0542429346168e-132,3.22837889628211e-130,up
FOXM1,5.03251883075714,6.94416925015948,598.800934895111,3.05214853262441e-132,4.73955064994677e-130,up
C17orf53,4.37696324857421,3.59296439414484,598.578336932736,3.41210720501149e-132,5.23617957437293e-130,up
CENPI,4.58359257325869,2.84036054645873,595.846062540317,1.34066007089669e-131,2.03343836799726e-129,up
CDC25C,5.12003364413238,2.88842147043998,594.694528552061,2.38665568438249e-131,3.57833755713623e-129,up
INMT,-5.1895559101116,5.4348335233941,593.01562186648,5.53313896598582e-131,8.20162098549079e-129,down
DEPDC1B,4.59404737530683,4.02541163605423,592.725650832095,6.39799414804107e-131,9.37701524348851e-129,up
BRIP1,4.445944482001,3.6345169168923,591.343437846922,1.2784767853917e-130,1.85293902096104e-128,up
ARHGAP11A,3.49463715292217,5.39238943810871,589.274122948904,3.60410566944199e-130,5.16614882991223e-128,up
XRCC2,4.49111857888976,3.10860170034488,589.235098587997,3.67524148861077e-130,5.21085325841727e-128,up
ANLN,4.59596785022851,6.45842980864774,586.254301790743,1.63551769697441e-129,2.29394546659507e-127,up
HELLS,4.14521022398101,4.24553757549972,585.504112367087,2.38140859349075e-129,3.30458443547801e-127,up
KLF2,-3.73021099327103,4.72504647793799,584.829482911343,3.33869955043051e-129,4.58421020377007e-127,down
RECQL4,4.14226154971231,5.70562970939954,583.877019797885,5.37965980125702e-129,7.30961275495798e-127,up
PKMYT1,4.55816186952901,5.20341125603756,581.583220030046,1.69706685805373e-128,2.2821175357168e-126,up
EME1,4.42968775626791,3.3797463829511,580.845025555976,2.45623944373863e-128,3.2693048269517e-126,up
GINS2,4.34726295571167,4.73571069539332,579.654430759478,4.45911949778721e-128,5.87522775041782e-126,up
CDCA2,4.60923688279686,3.83905730463871,579.531644830544,4.74195667352893e-128,6.14441056523787e-126,up
DLGAP5,4.62666630386358,5.12425919307265,579.525055896216,4.75763160908483e-128,6.14441056523787e-126,up
MELK,5.12045008998062,5.13394613638507,579.036778027832,6.07577119316214e-128,7.76983916113794e-126,up
GPD1,-6.01259904542481,3.22709605109091,578.810906265629,6.80351383021624e-128,8.61602275741171e-126,down
FANCI,3.35602277726855,6.46374053433322,577.575711635183,1.26303294541864e-127,1.58413478269623e-125,up
TEK,-4.21805964688675,4.25912773104596,575.972053303673,2.81998202866872e-127,3.5032233887576e-125,down
CD302,-2.97835364594941,5.66804647706593,573.10235156352,1.18706642956564e-126,1.46076363275984e-124,down
PVRL1,4.83057034192941,9.22886128627805,567.027370206528,2.48855073411608e-125,3.03370614727197e-123,up
PERP,3.73668493172665,10.732130556822,566.218871712974,3.73094179228967e-125,4.50614858690986e-123,up
IQGAP3,4.56645851188316,5.38405361254345,564.579514062416,8.48062517520721e-125,1.01487408060003e-122,up
