,logFC,t,P.Value,adj.P.Val,B,direction
FLAD1,1.33186284422198,13.7351061029314,3.89943116274932e-34,1.38973169636345e-32,66.5533938267872,up
RCAN1,-1.79091389954599,-13.7316026503844,4.02038654235137e-34,1.42893520595181e-32,66.5443028038957,down
ITGAL,-1.95425966841844,-13.7123725365344,4.75413338915225e-34,1.67602475481357e-32,66.4029510738217,down
VIPR1,-3.3807119823724,-13.6922392335757,5.66586848926824e-34,1.98138307168941e-32,66.3874317634324,down
LAIR1,-1.75899494099199,-13.7141539446716,4.68088739703628e-34,1.65467466685478e-32,66.3842570704995,down
HMGB3,3.14347894725321,13.7073380289828,4.96737894853687e-34,1.74648223732385e-32,66.3102924086157,up
SGPL1,1.09345971911346,13.7022820094801,5.19114132741665e-34,1.82024858803287e-32,66.2326273817823,up
F8,-1.84903150011727,-13.6815132707244,6.22081888814649e-34,2.16384964205287e-32,66.1671126800751,down
SULT1C4,-2.82408497309088,-13.6817923979393,6.20571174722618e-34,2.16384964205287e-32,66.102679018059,down
RNF144B,-2.01770526872366,-13.6735989996922,6.66477546362064e-34,2.31210987094329e-32,66.0585460923516,down
KLF4,-2.84796177414634,-13.6719528472591,6.76101656839038e-34,2.33927586520117e-32,66.0372321528058,down
MASP1,-3.41993906691793,-13.6101166276875,1.15814661258516e-33,3.95525790852468e-32,65.6750895669824,down
GAB1,-1.50830278891635,-13.6206482267778,1.05674869852965e-33,3.63700000623239e-32,65.6129337157622,down
ETS1,-1.56018037929671,-13.6293590523277,9.79610255300563e-34,3.38043284924353e-32,65.604021262559,down
SIRPA,-1.71507727993295,-13.616123331421,1.09918106104754e-33,3.77308362113265e-32,65.4933279518332,down
BZW2,1.34760753578722,13.6100997298495,1.15831686680192e-33,3.95525790852468e-32,65.4371472533682,up
NCKAP1L,-1.86201789585646,-13.6060101075832,1.20026498810865e-33,4.08779543208597e-32,65.4319277104369,down
DONSON,1.95430855179972,13.5765830384271,1.5502820237743e-33,5.22529165842687e-32,65.4066076454516,up
MS4A4A,-1.78961077707579,-13.5930235852425,1.34378414352377e-33,4.55281048522702e-32,65.3732825006188,down
SLC25A39,1.14269708298754,13.5947075083241,1.32424923729581e-33,4.49830912793921e-32,65.3132733852992,up
TGM1,-3.03420688109785,-13.5823784010447,1.47410723785919e-33,4.98141316337702e-32,65.2080994976187,down
C1orf74,1.53042505229609,13.5483942826571,1.98065227424764e-33,6.64154968259284e-32,65.2067956703507,up
PTGIR,-1.67063798049972,-13.5470755744124,2.00347636915823e-33,6.70085788699999e-32,65.1968012533716,down
PSMG3,1.54587216568361,13.5707071526453,1.63152549679864e-33,5.48495324233027e-32,65.1672353139416,up
SEMA6A,-2.84851166332594,-13.5330154209074,2.26376075732164e-33,7.53277941798559e-32,65.0662235193062,down
TM6SF1,-1.66656574330594,-13.5142869640158,2.66358559968739e-33,8.79590140818287e-32,64.8840310348391,down
ST6GALNAC3,-2.25552704317947,-13.5102193263692,2.75933658808629e-33,9.06619306171224e-32,64.8648420954,down
GGCT,1.69852701566826,13.5382581209076,2.16298009360553e-33,7.21583435830958e-32,64.8351955084325,up
GDF10,-4.34523741147746,-13.5179313751106,2.58061648404311e-33,8.56528280352629e-32,64.8337163085528,down
SEPT4,-1.66339098388868,-13.503916944255,2.91451911621536e-33,9.55200687233997e-32,64.7945223196567,down
UBASH3B,-1.94330475678614,-13.5128266670125,2.69757300552619e-33,8.88564199093022e-32,64.7423495448387,down
EVI2B,-1.80248057575611,-13.5166335962904,2.60986201321625e-33,8.64036550771391e-32,64.6812480830879,down
LRRC25,-1.60635629894336,-13.4963284540388,3.11296527502466e-33,1.01513797618554e-31,64.6639986037769,down
ZBTB47,-1.19752917104618,-13.4966128981137,3.10528915378376e-33,1.01513797618554e-31,64.6197604971187,down
AP1S2,-1.4279859363272,-13.495543815189,3.13423813199632e-33,1.01952623924588e-31,64.5737499840584,down
HCST,-1.66010900027,-13.4759181089516,3.71617767692332e-33,1.20581645815393e-31,64.5217278107242,down
TBX3,-2.34472707080497,-13.4625248364699,4.17403174203596e-33,1.34767500106725e-31,64.4213150869318,down
TMEM47,-1.93647032766889,-13.4625752009965,4.17220869689662e-33,1.34767500106725e-31,64.3056099663357,down
TUBB6,-1.61771218991087,-13.4493841390871,4.67789240062786e-33,1.4992242868253e-31,64.0569968529556,down
SORBS3,-1.52303260147536,-13.449857213065,4.65874158312543e-33,1.49676416774109e-31,64.0487569673698,down
TBX4,-2.86595578088095,-13.4132814658139,6.39680704432965e-33,2.02524153121932e-31,64.0145623077366,down
TMEM140,-1.0840947832933,-13.4337687293163,5.35609938778972e-33,1.70818974118164e-31,63.969022372551,down
KCNT2,-3.32055214990719,-13.4514969513556,4.59296566689712e-33,1.4792751644199e-31,63.965747744483,down
KCNAB2,-1.49956102012063,-13.4160078142554,6.24745388004829e-33,1.98760459539878e-31,63.8349495407663,down
DOCK11,-1.7389213236277,-13.4057608467937,6.82751989667394e-33,2.15637214363717e-31,63.785897171517,down
TACC1,-1.91322750794962,-13.4149339441124,6.30586213711105e-33,2.00130573519408e-31,63.7552653333561,down
ARHGAP24,-1.65406499806138,-13.3943524121885,7.53674860569371e-33,2.36557706968559e-31,63.7211606783011,down
DUOX1,-3.79581679838124,-13.3942639796626,7.54252386019584e-33,2.36557706968559e-31,63.6993989578136,down
STXBP6,-3.50427471248757,-13.3709367718281,9.23096836255925e-33,2.84654258442607e-31,63.6010949387678,down
GBP4,-2.11607096202017,-13.3942366123597,7.54431202843609e-33,2.36557706968559e-31,63.5926149929964,down
PREX1,-1.6065783364681,-13.392947811625,7.62900240346234e-33,2.38639585973052e-31,63.5852344329518,down
KAT2B,-1.41646288235246,-13.3840366980911,8.24110330991314e-33,2.57072857375853e-31,63.5584667923276,down
ARRB2,-1.17873208964874,-13.3838042849865,8.25770678016579e-33,2.57072857375853e-31,63.4826253826577,down
TIMELESS,1.87191664495908,13.3735122069947,9.02741619508361e-33,2.80365754401597e-31,63.4716066085161,up
GRIA1,-5.80293050360127,-13.4371859409994,5.19975665690165e-33,1.66239279001532e-31,63.4492401241622,down
PDCD1LG2,-1.77063083182051,-13.3430095400645,1.17549863193321e-32,3.59934369834198e-31,63.4359142185413,down
NARF,1.22105991018901,13.3731863275057,9.05292288958177e-33,2.80490085918538e-31,63.4031901204498,up
CA2,-2.89147202992608,-13.3611783119953,1.00446541640084e-32,3.09015256875768e-31,63.3704182810222,down
GNAQ,-1.26940576066302,-13.3594367042322,1.01972231496195e-32,3.12970773561497e-31,63.2676250441077,down
EFNA4,2.18223787067487,13.3282472911102,1.33563194156914e-32,4.08008970628286e-31,63.2470196072195,up
HCK,-1.94985907619352,-13.3087233540571,1.58130498792249e-32,4.81928557534136e-31,62.8945642584009,down
ROR1,-2.52590656379,-13.2481696954611,2.66840968005682e-32,7.98319629969294e-31,62.6387844702701,down
