genes modules
228 B3GNT7 M2
229 MUC20 Not.Correlated
230 GCLC M4
231 MKI67 M1
232 HK2 M1
233 TMPRSS4 M1
234 KIAA1324 M1
235 CREB3L1 M1
236 CAV2 M1
237 CTSE M1
238 ITGA2 M4
239 LCN2 M1
240 AKR1C1 M4
241 MT2A M1
242 MACC1 M1
243 CHI3L1 M2
244 SNX30 M1
245 CFI M1
246 PROM2 M1
247 GALNT3 Not.Correlated
248 DLC1 M1
249 FAM129A M1
250 CDCP1 M1
251 ITGA6 M1
252 PVRL4 M1
253 TSKU M4
254 SCGB3A2 M1
255 SERPINE1 M3
256 OAS2 M2
257 CLDN1 M2
258 PRODH M1
259 MECOM M1
260 TFCP2L1 M1
261 NFIX M1
262 AHNAK2 M3
263 BACE2 M4
264 S100P M4
265 MUC4 Not.Correlated
266 ELN M1
267 HPN M1
268 COL12A1 M3
269 PLXNA2 M1
270 KCNS3 M1
271 NPNT M1
272 AKR1B1 M4
273 FXYD3 M1
274 SMPDL3B M1
275 PLAT M3
276 CYP2B7P1 M1
277 PRR15L M1
278 TMEM45B Not.Correlated
279 GPT2 M2
280 SLC7A2 M2
281 HPGD M1
282 CX3CL1 M1
283 SFTPD M1
284 EPHA2 M1
285 BCAT1 Not.Correlated
286 RGS1 M2
287 APOC1 M2
288 NEBL Not.Correlated
289 MMP11 M3
290 KDR M1
291 CRABP2 M3
292 RASD1 M1
293 EPDR1 M1
294 CEACAM1 M2
295 H19 M1
296 AMIGO2 M3
297 SFRP2 M3
298 LRIG3 M1
299 KCNK5 M1
300 ALPL M1
301 MYH11 M1
302 RAB15 Not.Correlated
303 CCL18 M2
304 ATP8A1 M1
305 CD163 M2
306 C19orf33 M1
307 MX2 M2
308 PDE4D M1
309 PTPN13 M1
310 MYC M1
311 PTGS2 M3
312 SFTPC M1
313 FCGBP M1
314 OPN3 M4
315 CDH3 M4
316 BASP1 M2
317 EGFR M4
318 LFNG Not.Correlated
319 RPL9 Not.Correlated
320 TCEA3 M1
321 SYT7 M2
322 IRS2 M2
323 PRELP M1
324 MMP9 M3
325 CMBL M4
326 NCRNA00201 M1
327 TK1 M1
328 SIPA1L2 M3
329 DOK4 M1
330 CTHRC1 M3
331 KIT M1
332 SEMA3C M3
333 MEGF6 M1
334 VSTM2L M1
335 CES1 M4
336 CENPF M1
337 PODXL2 M2
338 SLC2A3 M1
339 TPX2 M1
340 ETV4 M1
341 PTGR1 M4
342 RRM2 M1
343 TRIM16 M4
344 PLEKHG2 M2
345 LRRK2 M1
346 RARRES3 M2
347 FSTL3 M3
348 FAM83A M1
349 IL6ST M1
350 NTN4 M1
351 RORC M1
352 FBLN2 M3
353 IRX3 M1
354 NT5E M1
355 SLCO2A1 M1
