,logFC,t,P.Value,adj.P.Val,B,direction
GNG11,-3.60811982861104,-27.8726758424622,1.14791214156956e-89,1.1517973826641e-87,194.000263387702,down
PLK4,3.19094509008712,27.8478017145294,1.41719768709738e-89,1.41113943744261e-87,193.789943253359,up
MND1,4.71470765594993,27.8464712858604,1.43326507824811e-89,1.41632649095973e-87,193.778691873586,up
SLC39A8,-4.40569298544202,-27.8423052330164,1.48476775035848e-89,1.4561887620809e-87,193.743458357173,down
HSPA12B,-3.58433029138783,-27.8223022498262,1.75908403161251e-89,1.71235015733982e-87,193.574258175486,down
PTTG1,3.4692603060407,27.7556219956853,3.09654548345255e-89,2.99195105823371e-87,193.009878468968,up
RRM2,4.27900555573024,27.7128397149728,4.45216539705784e-89,4.27015039994283e-87,192.647488664083,up
CDC25A,4.10384981851391,27.6802687519434,5.8707067178106e-89,5.58959842533734e-87,192.371446909912,up
AGER,-7.81360469619829,-27.6319072113975,8.8541213808397e-89,8.36906951388935e-87,191.961343669627,down
NEIL3,5.09335615686745,27.5900377876528,1.26398661578046e-88,1.18614686447772e-86,191.606066705695,up
EME1,4.16214893798965,27.5855416608581,1.31325540423006e-88,1.21985661006054e-86,191.567902981641,up
HSD17B6,-4.61503252102874,-27.5850630312217,1.31861225098541e-88,1.21985661006054e-86,191.563840166866,down
SLC9A3R2,-2.70322216553765,-27.4897652761838,2.96724655023289e-88,2.72568760572097e-86,190.754365773488,down
USHBP1,-3.94033879879644,-27.3108017030863,1.3648953411157e-87,1.24501362444148e-85,189.231292945495,down
GRHL3,7.91920791910563,27.1679014175953,4.62887400091807e-87,4.19298836583162e-85,188.012406269865,up
CLEC14A,-3.37707123159658,-27.0783896153525,9.95935907532035e-87,8.95930205368818e-85,187.247674018539,down
MCM2,3.55154477510443,27.0339301459652,1.45767017196104e-86,1.30231847418217e-84,186.867489498332,up
CCNE1,4.40573043125405,27.0232108510017,1.59793612425924e-86,1.41792372822024e-84,186.775791223737,up
MKI67,4.19807998410806,26.9880646466337,2.15985292827311e-86,1.90358929705368e-84,186.475038098349,up
CSRNP1,-3.51503119806694,-26.8852264041406,5.22030925979472e-86,4.57004791844042e-84,185.594198480975,down
CD302,-3.09273026942999,-26.8563084290692,6.69219062870786e-86,5.81952897072436e-84,185.346284601972,down
ESCO2,4.16383005259037,26.8174904616347,9.34192848711682e-86,8.06994140304317e-84,185.013344525891,up
RAMP3,-3.82595562268446,-26.8032987159108,1.0554045722298e-85,9.05703765800365e-84,184.891578636803,down
GPD1,-6.35129445280772,-26.7763312577893,1.330838366402e-85,1.13460494453253e-83,184.660131818451,down
GIMAP8,-3.67775136917787,-26.7703795903413,1.40073490552606e-85,1.18605738922725e-83,184.609040530212,down
PSAT1,5.06879401709327,26.7696646235635,1.40937515585881e-85,1.18605738922725e-83,184.602902716684,up
EDNRB,-4.81251966451583,-26.7523049292474,1.63636157568713e-85,1.36825002520916e-83,184.453855762569,down
SECISBP2L,-2.27011484008911,-26.5586444409856,8.67732722415159e-85,7.20936664406582e-83,182.78875333869,down
RACGAP1,2.49889972208616,26.5396088081417,1.02259082016134e-84,8.44219915074973e-83,182.624849847295,up
CLIC5,-6.37645673305527,-26.3571052569171,4.94717080683743e-84,4.04020834294278e-82,181.051314607775,down
C17orf53,3.94226755568751,26.356903965916,4.95579066904972e-84,4.04020834294278e-82,181.049576979256,up
PITX1,7.50301586974542,26.3288112956546,6.3190039313241e-84,5.11957063852122e-82,180.807023806227,up
MTBP,2.96290913856506,26.3063023834251,7.67778552169086e-84,6.18203915709479e-82,180.612615952203,up
