,logFC,t,P.Value,adj.P.Val,B,direction
MTF2,0.394236650281102,3.72202062720225,0.00067824778974199,0.0015955030062028,-1.76138818186779,no DE
POU6F1,-0.616302190389516,-3.63156057156523,0.000876514194818828,0.00201289633049591,-1.76419888992674,no DE
IKBKAP,0.263795734688631,3.74552970847289,0.000634298363376759,0.00150077777106593,-1.76785980629723,no DE
IP6K1,-0.315572925959738,-3.74618748046624,0.000633109249482477,0.00149850790242232,-1.76925280213228,no DE
HAP1,1.89181907188085,3.27038524794416,0.00238332906371943,0.0049908724204778,-1.76928694523931,up
CORIN,-0.906448411000781,-3.56555864625002,0.00105538279271025,0.00238090853478252,-1.7708249528703,no DE
HSD17B14,-1.07646896617532,-3.51776802195015,0.00120634953812399,0.00269123026770811,-1.77118317948088,down
CD180,0.650449132494768,3.56887709352137,0.00104560509346693,0.00236211860740953,-1.77444634515939,no DE
CD58,-0.576916923746884,-3.6875715076494,0.000748016469940207,0.00174450516984936,-1.77487691602395,no DE
PTCD3,0.321798137283769,3.74193867725823,0.000640828451569994,0.00151540361172571,-1.77535973326471,no DE
CDC34,0.396005177375175,3.73940030174219,0.000645483590567072,0.00152475334215083,-1.77692255439472,no DE
GPC6,1.09892524805426,3.73855117410584,0.000647048110171925,0.00152817228844515,-1.77715124860527,up
LIN54,0.352248293098918,3.69856923810195,0.000725020850156951,0.00169749104500862,-1.78085580930173,no DE
NOM1,0.457068160612399,3.72340374334434,0.000675582417877585,0.00159009329823082,-1.78364772341335,no DE
SEC62,-0.367748733257873,-3.73320313045033,0.000656986659947848,0.00154912038907443,-1.78387667558204,no DE
PTPLA,-1.1604727150988,-3.55381289722308,0.00109070417532677,0.00245549624835389,-1.79003282552302,down
DLX5,3.48211910391506,3.15103909505694,0.00328618619232303,0.00666744636687846,-1.79333942587039,up
TXNDC11,-0.510165600962702,-3.740129354775,0.0006441432335219,0.0015224142667258,-1.79627991785665,no DE
STRN3,0.410076397713965,3.72604352362275,0.000670523483808976,0.00157875601494662,-1.79966965135262,no DE
ERBB4,-1.26784786246945,-3.52959290425189,0.00116716775176474,0.00261500105702839,-1.80053809410665,down
PLEKHF2,-0.504667644515227,-3.70621755502526,0.000709433558773461,0.00166346419928834,-1.80346116128243,no DE
NISCH,-0.466407548990777,-3.72624798354497,0.000670133186756573,0.00157812191515666,-1.80605331361,no DE
LYSMD2,-0.569674201244803,-3.61589937202108,0.00091610160618302,0.00209275470246083,-1.80619681113612,no DE
ARCN1,0.332069212233297,3.71659075670906,0.000688810369798971,0.00161801593078656,-1.80684760720039,no DE
B4GALT6,0.624931263866341,3.58610167187344,0.000996240225391205,0.00226077896659758,-1.80700837627551,no DE
ZNF175,-0.514028946681821,-3.5503905317537,0.00110120827430352,0.00247657943620951,-1.80792489006477,no DE
GFM1,0.371932228776677,3.73224717751338,0.00065877866801859,0.00155278441373952,-1.80793066498554,no DE
DPY19L1,0.659500099814569,3.73485952974335,0.000653892784115708,0.00154294093270718,-1.81185779269602,no DE
ARID4B,0.347681602227121,3.73375457253505,0.000655955087412471,0.00154719706432699,-1.81286379470002,no DE
FOXL1,1.23566470574741,3.4577701317551,0.00142545878406827,0.00313976433289202,-1.81528007825399,up
CISD2,0.518738962871671,3.68491987775775,0.000753665565544677,0.00175612962432382,-1.81693741106498,no DE
ATP13A3,0.535072840569223,3.71685081799634,0.000688300868197616,0.00161711032506659,-1.82116217030174,no DE
C6orf106,-0.33164623037633,-3.72291851435357,0.00067651633458799,0.00159171700367347,-1.82126286570803,no DE
SLC38A5,-0.773989977676327,-3.67269818318918,0.000780240788850503,0.00181125838223277,-1.82223984306493,no DE
ACAN,1.58667510291429,3.32144372121801,0.00207419438899518,0.00440361191569875,-1.82500948009528,up
ATRNL1,2.84749099675675,3.19110863617998,0.00295186595051273,0.00605506203152823,-1.82653475076027,up
BCAS1,2.81273119795526,3.45151053786733,0.00145040592561579,0.00318879064448549,-1.83079959732713,up
GK5,0.543226520863893,3.71327023914664,0.000695347976965868,0.00163190338458848,-1.83306429509217,no DE
ZNF79,0.551167876241673,3.51839876566746,0.00120422798596378,0.00268804316481902,-1.83644215495031,no DE
HCFC1R1,-0.56302999812196,-3.69469186337209,0.000733049039374722,0.00171421507163927,-1.84623329462149,no DE
TRMT12,0.476111939179362,3.58963604542841,0.000986392541860668,0.00224077051829163,-1.84919592323985,no DE
NCBP2,0.356379691467593,3.71952132729163,0.000683089982079312,0.00160602482448496,-1.85131565626318,no DE
MBIP,-0.891761231814591,-3.69852278028184,0.000725116536552286,0.00169749104500862,-1.85308742661048,no DE
CSPG5,0.942657355941977,3.45782110884437,0.00142525732040747,0.00313976433289202,-1.85634136527903,no DE
STXBP2,-0.394778256961644,-3.71883658896705,0.000684422438574098,0.00160857770968658,-1.85864149623653,no DE
ZNF259,0.425205977753284,3.68888503650515,0.000745233289941018,0.00173958894666976,-1.85927756103138,no DE
GJC2,-1.37202782500683,-3.3459912165841,0.00193958387850317,0.00414549108818537,-1.85966736932621,down
DHX32,0.493729335859513,3.69867931002331,0.000724794190368793,0.0016973456766913,-1.86257299715024,no DE
SOX8,0.925038052361989,3.4256891071425,0.00155781751192236,0.00339688592870533,-1.86344835763835,no DE
HIST2H2BE,0.791565779374817,3.68974552746805,0.000743415466595699,0.00173596694347911,-1.863536126326,no DE
ELF1,-0.380701002452685,-3.71628177512604,0.00068941618874548,0.00161914741915665,-1.86694105986957,no DE
SRFBP1,0.461509513552686,3.60935369155574,0.000933153984744567,0.00212909927881898,-1.86714169461297,no DE
UBR5,0.428927060019346,3.70763256581638,0.000706585538619988,0.00165708410028032,-1.86848634198232,no DE
MOCS2,-0.455886707042042,-3.67106236209594,0.000783865811853987,0.00181805576988325,-1.87397344171255,no DE
NDOR1,0.361936411057138,3.69080861123537,0.000741175580717704,0.00173197676010063,-1.87412398881619,no DE
KLHL29,-0.852343257203493,-3.67475170516352,0.000775713073031561,0.00180203051195435,-1.87483197783598,no DE
TUBE1,-0.471313401331391,-3.54684452198437,0.00111219464269748,0.00249956356294728,-1.87489597583879,no DE
TMEM214,0.446211300696485,3.71160273718572,0.000698653659751104,0.0016393664935768,-1.87743064720356,no DE
RRAGC,-0.334873341585172,-3.65065976763788,0.000830469200369686,0.00191728146011012,-1.87900045276286,no DE
BEST1,-0.637037403443577,-3.62584154171812,0.000890775048257477,0.00204169209795652,-1.88072889269618,no DE
TYW1B,0.550284906364958,3.45701435100338,0.00142844887275266,0.00314528816613533,-1.88079815819794,no DE
LETM2,0.852027593954036,3.43920032953448,0.00150069565651255,0.00328650386861639,-1.88167604852568,no DE
PCBD2,0.537237312718879,3.64640510514268,0.000840519644214122,0.00193774094010764,-1.88316487548493,no DE
TMEM55A,-0.502280798687841,-3.5647235591226,0.0010578571950847,0.00238607803089829,-1.88810287214883,no DE
SUPT7L,0.332582709572042,3.70564110560707,0.000710596972452077,0.00166589268667593,-1.88840275320004,no DE
USP43,0.62470667307098,3.52338746987731,0.00118757416819019,0.00265661420851876,-1.88854778080635,no DE
ACP1,0.362158036890167,3.70367161213952,0.000714585833723717,0.00167494296767155,-1.89066837262263,no DE
TNFRSF10C,0.997275808342224,3.52268569253869,0.0011899034444558,0.00266136840354619,-1.89209437788375,no DE
FAM32A,-0.342634036751549,-3.69787902767476,0.000726443693894908,0.00169998771854417,-1.89413646335224,no DE
CCDC149,0.390715435225005,3.67997013292631,0.000764321234594009,0.00177905178159248,-1.89478787724717,no DE
RSBN1,-0.27802660754721,-3.68451209843547,0.000754537961539342,0.00175753449469985,-1.89514016043365,no DE
SAMD1,0.378569031448416,3.66329203418056,0.00080130863164136,0.00185653104638186,-1.89794058150514,no DE
ETAA1,0.377709710894325,3.60574230717585,0.000942692846310894,0.00215002026603242,-1.89924050631936,no DE
SLC38A10,0.385909438372236,3.67476882184833,0.000775675440229756,0.00180203051195435,-1.90177310877317,no DE
MTMR7,0.766728865054971,3.51564150312579,0.00121352877592246,0.00270539554830499,-1.90405305548695,no DE
ANAPC7,0.42077369353242,3.68863405446152,0.000745764309631563,0.00174051702537737,-1.9045654023215,no DE
HIF3A,-1.47014237373442,-3.5056034590206,0.00124797644521546,0.00277602400262457,-1.90667817260754,down
CTSF,-0.582212524394853,-3.69948182025526,0.000723143734821283,0.00169378467893856,-1.90679866701999,no DE
TMEM128,-0.368492558706535,-3.67352280653744,0.000778419552583438,0.00180799584114999,-1.91110454940731,no DE
THADA,0.412830657879233,3.69839400793235,0.000725381825151139,0.00169780737973649,-1.91254721090439,no DE
ENTPD2,2.55510962683791,3.19145507135798,0.00294912164025492,0.00605038418928676,-1.91383190844941,up
ZNF518A,0.562714819907566,3.68856443652932,0.00074591166984128,0.00174054952082463,-1.91428535266048,no DE
BPNT1,0.589319375382844,3.65171682021908,0.00082799027898898,0.0019122353397897,-1.91633114332681,no DE
TMEM194A,0.503759015997451,3.6773782731543,0.00076995889649585,0.0017902573700342,-1.9184559404468,no DE
CCDC58,1.04146142915024,3.4046995206812,0.00165071273228537,0.00358208232905179,-1.91897331349007,up
GLIPR1,-0.677503850945151,-3.68975046903703,0.000743405039722406,0.00173596694347911,-1.92295304362238,no DE
LIPF,3.61602809208711,3.07726012072072,0.00399780205565538,0.00795656545834129,-1.92938798462439,up
DCTN3,-0.626546277040292,-3.62279141611141,0.000898472125774394,0.00205680421351372,-1.92951776969689,no DE
NCOA6,0.543199506812224,3.69156575268764,0.000739584288825121,0.00172887768161915,-1.92960551351777,no DE
BICC1,0.813700738820896,3.62507974348638,0.000892691480397129,0.00204572517046735,-1.93168480252641,no DE
MPND,-0.470199851794947,-3.63397807307984,0.000870552494112751,0.00200026188712467,-1.93396349157547,no DE
ALKBH4,0.541905682767307,3.50032357887218,0.00126647104276343,0.00281332566107054,-1.93443392761109,no DE
TCTEX1D1,-1.28723672687553,-3.32649912073252,0.00204576195843869,0.00434962004659728,-1.93523474079723,down
VPS36,-0.406837244890908,-3.68603409968812,0.000751286791071892,0.00175089957168872,-1.94264028153069,no DE
POU2F1,0.744050029399647,3.39557285824281,0.00169274138499192,0.00366231856457698,-1.94310511164396,no DE
RGN,-0.939631778749522,-3.48365383216475,0.00132660840712559,0.0029399048696137,-1.94394213462778,no DE
OSGEPL1,0.502107574418585,3.4728163982646,0.00136716766051417,0.00302208692827433,-1.94532042889823,no DE
MTX2,0.586500694541435,3.59371136164979,0.000975154187024439,0.00221755774329616,-1.9475852881003,no DE
MFSD4,1.16545754940389,3.62784003424876,0.000885766365892911,0.0020319972699098,-1.95433591771528,up
ZNF619,0.56738487703703,3.45872039420748,0.00142170779890861,0.00313308946257205,-1.95571287356775,no DE
STEAP4,-1.25388027635278,-3.65759663924375,0.000814331345732825,0.00188402590878662,-1.95676949368354,down
TSPYL2,-0.498119959129789,-3.67691246531347,0.00077097634887668,0.00179201033921554,-1.9593576686698,no DE
TNIK,-0.766659289275565,-3.63900037873308,0.000858292140722807,0.00197417786697025,-1.96663419367926,no DE
FCER1A,-1.45704814769469,-3.40699033136492,0.00164032156524582,0.00356190352872757,-1.96709102938899,down
AP2B1,0.364339814573376,3.64839959847488,0.000835793666409289,0.00192820880520742,-1.96975085679204,no DE
ERBB2IP,0.358152551399623,3.66832904318104,0.000789959288058177,0.0018312118275157,-1.97104295843414,no DE
SAP130,0.409893968870337,3.66074302752234,0.000807111940438373,0.00186898067656278,-1.9717115281095,no DE
STOML2,0.573616014558442,3.65813205061171,0.000813098449903422,0.00188194152851609,-1.97174728144703,no DE
SAMD14,-1.63389055396867,-3.20237559311376,0.00286384705604791,0.00589397617530593,-1.9746224718357,down
MYEF2,0.621546087746382,3.58254087606491,0.00100625738252799,0.00227954520626869,-1.97938697219108,no DE
MAP1LC3B,-0.389251058962442,-3.67140521580557,0.0007831046925256,0.00181661348200319,-1.98046331980225,no DE
BACE1,-0.573857887473756,-3.67329119040262,0.000778930676850167,0.00180886091309126,-1.98173192256603,no DE
SEC16B,0.694176020859552,3.55061403588645,0.00110051931990223,0.00247545680441537,-1.98256066228357,no DE
WASF2,-0.509045865910138,-3.6431330044686,0.000848328908790905,0.00195436281989908,-1.98381887430583,no DE
XIAP,0.341503587550995,3.67306701914335,0.000779425681018374,0.00180968824905726,-1.9854893403906,no DE
SDK2,1.01520711415957,3.51351515279313,0.00122074854424386,0.0027196317696186,-1.98680646838499,up
THOC5,0.447409905851343,3.6480785389601,0.000836552683289334,0.0019292774400329,-1.98835045805604,no DE
C1orf204,0.784253837003277,3.40806059440427,0.00163548834947153,0.00355318288316234,-1.99090513130087,no DE
DYNC1LI1,-0.398662652475015,-3.6483191446442,0.000835983804822633,0.00192830641027523,-1.99120156634731,no DE
CD48,-0.754793551454426,-3.59245450639373,0.000978606933251138,0.0022250215857291,-1.99236626259098,no DE
PLN,-1.15102579677939,-3.54380010652224,0.00112171112164376,0.00251964867758243,-1.99274241527485,down
EDIL3,-0.854851067421317,-3.64875053563375,0.000834964777015919,0.00192663728133657,-1.99940194857273,no DE
NUP133,0.446395195113046,3.65225243097808,0.000826736935480725,0.00191001710705111,-2.00139256254467,no DE
TBC1D22B,0.367802350638047,3.59712066182271,0.000965847464206455,0.00219869359914642,-2.00230867906882,no DE
FSTL4,2.05538507668802,3.2925013972022,0.00224438048402578,0.0047249352862544,-2.00429104061081,up
C21orf119,0.697711650205519,3.35342071497761,0.00190051803612239,0.00406999790891159,-2.00558838213736,no DE
NUP35,0.555626647473399,3.48492199611643,0.00132193857480423,0.00293005382663489,-2.00960956915572,no DE
TCHP,0.350317232670234,3.60546100637361,0.000943439792388517,0.0021510625156294,-2.01167175156726,no DE
PMPCB,0.352753928793997,3.65567082866089,0.000818780879953384,0.00189364854576453,-2.01396988923448,no DE
UBTF,0.266709473758023,3.66203704373259,0.000804160802106752,0.00186280829385198,-2.01458241603791,no DE
TSPAN31,-0.545205325922581,-3.64971141534654,0.000832699308330567,0.00192208985628454,-2.01535121447128,no DE
GTPBP2,0.380997930638762,3.65853761967725,0.000812165744087373,0.00188034965670495,-2.01638230554383,no DE
VDR,0.670765996939074,3.65650493810267,0.00081685081497233,0.001889519778418,-2.01941238215912,no DE
AMIGO1,-0.637781317302468,-3.44048530026079,0.00149536905460891,0.00327753369486156,-2.02027226435144,no DE
THNSL2,0.65533323316913,3.58491568099868,0.000999565901096931,0.00226714269064656,-2.0219197712022,no DE
PPP1R16A,0.660201491882825,3.61999895253314,0.000905575266632553,0.00207052125818668,-2.02707722710239,no DE
TECPR1,-0.454658052628832,-3.63936404858559,0.000857410862754965,0.00197249864087756,-2.02809502516608,no DE
EDC3,0.319399013616581,3.63944166803802,0.000857222881444305,0.00197249864087756,-2.03099760268963,no DE
PDZD8,0.630417074041735,3.65388857166762,0.000822919666959925,0.00190220877827845,-2.03143180654688,no DE
PAG1,-0.71744952958372,-3.65360218739877,0.000823586596015723,0.00190307591823367,-2.03200627502162,no DE
VMAC,0.742578277623413,3.4571427977744,0.00142794027541005,0.00314469913092161,-2.0360537413198,no DE
UBE2S,1.76349469078049,3.38369365961565,0.001748983511889,0.003773361053437,-2.03605753313574,up
NUDT16L1,0.454976456368031,3.61187485598235,0.000926550044703998,0.00211477144061574,-2.040798843486,no DE
TMCO4,0.447506712077487,3.59460080442798,0.000972717875103838,0.00221316859383695,-2.04659824525759,no DE
